time,T_Cu1,T_Cu2,T_Inco1,T_H25,T_Inco2,T_Cu3,T_Cu4
168,150.006842018103,146.095070901056,125.913372271206,75.774179410587,49.4739631486506,26.3162168732974,24.9989267108385
169,150.001128128926,146.087968281216,125.88791845651,75.7248406417667,49.4412313139868,26.3139103151188,25.0010568614255
170,149.993396693144,146.096325789469,125.87177312692,75.6684841452036,49.4066713740798,26.313127307377,25.0007509302309
171,149.996021698701,146.086073680783,125.863532630626,75.6275948651535,49.374437702638,26.3108819044815,24.9994648671411
172,149.997797378568,146.091288513954,125.84097333067,75.5795133200867,49.3430636551786,26.3081689539896,25.0001091580821
173,150.004817910603,146.089884892029,125.831753150487,75.5386859833145,49.3154818770353,26.307111022758,25.0012119405924
174,149.992731051565,146.086907498631,125.817526823555,75.5012410225703,49.288794627528,26.3047688574399,25.0005391951678
175,149.993145357025,146.087930405795,125.807791418331,75.4584967013717,49.2684694333944,26.3019875861614,25.0008474239933
176,149.995034850442,146.086025861894,125.789573642896,75.4242177758405,49.244470585966,26.3012961212644,24.9998331514025
177,150.002236732124,146.077336177762,125.775368206059,75.3913665590004,49.2221286628207,26.2987427922853,24.999926561789
178,150.003475835785,146.074964554912,125.766246487338,75.3622706030122,49.2005961039693,26.2975124988801,25.0001517835276
179,150.002216189447,146.085988511276,125.754950356591,75.3330938978033,49.1807362093268,26.2972407783725,24.9994227288588
180,149.999263855596,146.072152426785,125.740440372835,75.2997604414146,49.1649601645387,26.2956333792181,25.0006225461691
